[texto72] [mistério] [em]
[mistério] [em] [capital=corpo]
[em] [capital=corpo] [de]
[capital=corpo] [de] [homem]
[de] [homem] [ser]
[homem] [ser] [retirar]
[ser] [retirar] [de]
[retirar] [de] [arroio=dilúvio]
[de] [arroio=dilúvio] [em]
[arroio=dilúvio] [em] [porto=alegre]
[em] [porto=alegre] [segundo]
[porto=alegre] [segundo] [polícia]
[segundo] [polícia] [não]
[polícia] [não] [haver]
[não] [haver] [sinal]
[haver] [sinal] [aparentar]
[sinal] [aparentar] [de]
[aparentar] [de] [violência]
[de] [violência] [carolina=rocha]
[violência] [carolina=rocha] [carolina.rocha@diariogaucho.com.br]
[carolina=rocha] [carolina.rocha@diariogaucho.com.br] [não]
[carolina.rocha@diariogaucho.com.br] [não] [haver]
[não] [haver] [informação]
[haver] [informação] [sobre]
[informação] [sobre] [causa]
[sobre] [causa] [de]
[causa] [de] [morte]
[de] [morte] [segundo]
[morte] [segundo] [policiar]
[segundo] [policiar] [de]
[policiar] [de] [equipe]
[de] [equipe] [volante]
[equipe] [volante] [de]
[volante] [de] [1ª]
[de] [1ª] [dppa]
[1ª] [dppa] [não]
[dppa] [não] [haver]
[não] [haver] [sinal]
[haver] [sinal] [aparentar]
[sinal] [aparentar] [de]
[aparentar] [de] [violência]
[de] [violência] [corpo]
[violência] [corpo] [de]
[corpo] [de] [homem]
[de] [homem] [identificar]
[homem] [identificar] [como]
[identificar] [como] [odilson=lucio=maciel=da=luz]
[como] [odilson=lucio=maciel=da=luz] [ano]
[odilson=lucio=maciel=da=luz] [ano] [ser]
[ano] [ser] [retirar]
[ser] [retirar] [de]
[retirar] [de] [arroio=dilúvio]
[de] [arroio=dilúvio] [em]
[arroio=dilúvio] [em] [esquina]
[em] [esquina] [de]
[esquina] [de] [avenida]
[de] [avenida] [joão=pessoa]
[avenida] [joão=pessoa] [ipiranga]
[joão=pessoa] [ipiranga] [em]
[ipiranga] [em] [final]
[em] [final] [de]
[final] [de] [manhã]
[de] [manhã] [de]
[manhã] [de] [quarta-feira]
[de] [quarta-feira] [não]
[quarta-feira] [não] [haver]
[não] [haver] [informação]
[haver] [informação] [sobre]
[informação] [sobre] [causa]
[sobre] [causa] [de]
[causa] [de] [morte]
[de] [morte] [segundo]
[morte] [segundo] [policiar]
[segundo] [policiar] [de]
[policiar] [de] [equipe]
[de] [equipe] [volante]
[equipe] [volante] [de]
[volante] [de] [1ª]
[de] [1ª] [dppa]
[1ª] [dppa] [não]
[dppa] [não] [haver]
[não] [haver] [sinal]
[haver] [sinal] [aparente]
[sinal] [aparente] [de]
[aparente] [de] [violência]
[de] [violência] [caso]
[violência] [caso] [ser]
[caso] [ser] [investigar]
[ser] [investigar] [por]
[investigar] [por] [2ª]
[por] [2ª] [dp]
[2ª] [dp] [de]
[dp] [de] [capital]
[de] [capital] [corpo]
[capital] [corpo] [ser]
[corpo] [ser] [levar]
[ser] [levar] [a]
[levar] [a] [dml]
[a] [dml] [para]
[dml] [para] [ser]
[para] [ser] [periciar]

[texto73] [ação] [policial]
[ação] [policial] [adolescente]
[policial] [adolescente] [ser]
[adolescente] [ser] [apreender]
[ser] [apreender] [com]
[apreender] [com] [arma]
[com] [arma] [de]
[arma] [de] [brigada=militar]
[de] [brigada=militar] [pistola]
[brigada=militar] [pistola] [de]
[pistola] [de] [batalhão]
[de] [batalhão] [de]
[batalhão] [de] [capital]
[de] [capital] [ser]
[capital] [ser] [encontrar]
[ser] [encontrar] [com]
[encontrar] [com] [suspeito]
[com] [suspeito] [de]
[suspeito] [de] [tráfico]
[de] [tráfico] [em]
[tráfico] [em] [alvorada=eduardo=torres]
[em] [alvorada=eduardo=torres] [eduardo.torres@diariogaucho.com.br]
[alvorada=eduardo=torres] [eduardo.torres@diariogaucho.com.br] [adolescente]
[eduardo.torres@diariogaucho.com.br] [adolescente] [de]
[adolescente] [de] [ano]
[de] [ano] [ser]
[ano] [ser] [apreender]
[ser] [apreender] [em]
[apreender] [em] [manhã]
[em] [manhã] [de]
[manhã] [de] [sexta]
[de] [sexta] [em]
[sexta] [em] [alvorada]
[em] [alvorada] [com]
[alvorada] [com] [pistola]
[com] [pistola] [pertencente]
[pistola] [pertencente] [a]
[pertencente] [a] [20º]
[a] [20º] [bpm]
[20º] [bpm] [atuar]
[bpm] [atuar] [em]
[atuar] [em] [zona=norte=da=capital]
[em] [zona=norte=da=capital] [agora]
[zona=norte=da=capital] [agora] [ir]
[agora] [ir] [investigar]
[ir] [investigar] [como]
[investigar] [como] [arma]
[como] [arma] [ir]
[arma] [ir] [parar]
[ir] [parar] [em]
[parar] [em] [bairro=umbu]
[em] [bairro=umbu] [com]
[bairro=umbu] [com] [adolescente]
[com] [adolescente] [agente]
[adolescente] [agente] [de]
[agente] [de] [polícia]
[de] [polícia] [também]
[polícia] [também] [encontrar]
[também] [encontrar] [revólver]
[encontrar] [revólver] [calibre]
[revólver] [calibre] [munição]
[calibre] [munição] [de]
[munição] [de] [diverso]
[de] [diverso] [calibre]
[diverso] [calibre] [quantidade]
[calibre] [quantidade] [de]
[quantidade] [de] [crack]
[de] [crack] [maconha]
[crack] [maconha] [operação=beira-mar]
[maconha] [operação=beira-mar] [ser]
[operação=beira-mar] [ser] [resultado]
[ser] [resultado] [de]
[resultado] [de] [investigação]
[de] [investigação] [de]
[investigação] [de] [3ª]
[de] [3ª] [dp]
[3ª] [dp] [de]
[dp] [de] [alvorada]
[de] [alvorada] [contra]
[alvorada] [contra] [tráfico]
[contra] [tráfico] [em]
[tráfico] [em] [bairro]
[em] [bairro] [ter]
[bairro] [ter] [participação]
[ter] [participação] [de]
[participação] [de] [delegacia]
[de] [delegacia] [de]
[delegacia] [de] [região=metropolitana]
[de] [região=metropolitana] [homem]
[região=metropolitana] [homem] [de]
[homem] [de] [ano]
[de] [ano] [com]
[ano] [com] [antecedente]
[com] [antecedente] [por]
[antecedente] [por] [homicídio]
[por] [homicídio] [porte]
[homicídio] [porte] [de]
[porte] [de] [arma]
[de] [arma] [ameaça]
[arma] [ameaça] [também]
[ameaça] [também] [ser]
[também] [ser] [prender]
[ser] [prender] [com]
[prender] [com] [revólver]
[com] [revólver] [calibre]
[revólver] [calibre] [munição]
[calibre] [munição] [pagar]
[munição] [pagar] [fiança]
[pagar] [fiança] [ser]
[fiança] [ser] [liberar]
[ser] [liberar] [adolescente]
[liberar] [adolescente] [ser]
[adolescente] [ser] [apresentar]
[ser] [apresentar] [a]
[apresentar] [a] [ministério=público]

[texto74] [violência] [em]
[violência] [em] [capital=jovens]
[em] [capital=jovens] [ser]
[capital=jovens] [ser] [executar]
[ser] [executar] [em]
[executar] [em] [zona=norte]
[em] [zona=norte] [de]
[zona=norte] [de] [porto=alegre]
[de] [porto=alegre] [pm]
[porto=alegre] [pm] [de]
[pm] [de] [11º]
[de] [11º] [bpm]
[11º] [bpm] [encontrar]
[bpm] [encontrar] [em]
[encontrar] [em] [cena]
[em] [cena] [de]
[cena] [de] [crime]
[de] [crime] [munição]
[crime] [munição] [deflagrar]
[munição] [deflagrar] [de]
[deflagrar] [de] [calibre]
[de] [calibre] [crime]
[calibre] [crime] [ocorrer]
[crime] [ocorrer] [em]
[ocorrer] [em] [avenida=dos=prazeres]
[em] [avenida=dos=prazeres] [vila=jardim=renato=gava]
[avenida=dos=prazeres] [vila=jardim=renato=gava] [renato.gava@diariogaucho.com.br]
[vila=jardim=renato=gava] [renato.gava@diariogaucho.com.br] [duplo]
[renato.gava@diariogaucho.com.br] [duplo] [homicídio]
[duplo] [homicídio] [chocar]
[homicídio] [chocar] [morador]
[chocar] [morador] [de]
[morador] [de] [zona=norte=da=capital]
[de] [zona=norte=da=capital] [em]
[zona=norte=da=capital] [em] [final]
[em] [final] [de]
[final] [de] [tarde]
[de] [tarde] [de]
[tarde] [de] [domingo]
[de] [domingo] [homem]
[domingo] [homem] [conversar]
[homem] [conversar] [em]
[conversar] [em] [carro]
[em] [carro] [polícia]
[carro] [polícia] [não]
[polícia] [não] [confirmar]
[não] [confirmar] [modelo]
[confirmar] [modelo] [ser]
[modelo] [ser] [executar]
[ser] [executar] [com]
[executar] [com] [diverso]
[com] [diverso] [tiro]
[diverso] [tiro] [por]
[tiro] [por] [dupla]
[por] [dupla] [conforme]
[dupla] [conforme] [relato]
[conforme] [relato] [de]
[relato] [de] [morador]
[de] [morador] [a]
[morador] [a] [polícia]
[a] [polícia] [abordar]
[polícia] [abordar] [em]
[abordar] [em] [moto]
[em] [moto] [pm]
[moto] [pm] [de]
